年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2021,3,1,0,8,臺中市,中區,0,1,0,8,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,8,19,3,10,1,1,B03,7,1,1,8,2,1,,19,19,1,4,5,B03,120.683362,24.141921,2
2021,3,1,0,21,臺中市,中區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,43,,1,21,,B03,120.676305,24.145924,3
2021,3,1,0,42,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,9,,,38,,1,22,,B03,120.6506,24.1564,3
2021,3,1,1,0,臺中市,西區,0,1,0,8,3,5,50,3,1,1,5,4,5,7,4,4,5,5,5,2,12,19,3,10,3,4,B03,7,1,1,8,2,6,,19,19,1,21,8,B03,120.670368,24.137962,2
2021,3,1,1,8,臺中市,梧棲區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,12,,B03,120.55774,24.256981,3
2021,3,1,1,53,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B02,,,1,,1,,,6,,1,22,,B02,120.678788,24.151015,3
2021,3,1,2,11,臺中市,南區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,,,,7,,10,,,43,,2,,,,120.669539,24.118328,3
2021,3,1,2,18,臺中市,東區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,3,,1,22,,C03,120.688111,24.136498,3
2021,3,1,3,29,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,3,,2,,,23,23,1,21,,B03,120.717207,24.148153,3
2021,3,1,5,12,臺中市,豐原區,0,0,0,8,,,60,,,,,,,,,,,,,,,,,,,,A02,,,1,,2,,,16,,1,10,,A02,120.737052,24.255933,3
