factor_id,near_id,weight,color,level
2,2,0,#ffcc33,起始點
2,9,1,#699c4c,第1層
9,13,1,#0066cc,第2層
9,14,3,#0066cc,第2層
9,15,10,#0066cc,第2層
9,16,1,#0066cc,第2層
9,17,15880,#0066cc,第2層
9,18,11,#0066cc,第2層
9,19,92,#0066cc,第2層
9,83,21,#0066cc,第2層
9,84,267,#0066cc,第2層
9,85,36,#0066cc,第2層
9,86,46,#0066cc,第2層
9,87,5178,#0066cc,第2層
9,89,4,#0066cc,第2層
9,90,2,#0066cc,第2層
9,92,3445,#0066cc,第2層
9,93,6190,#0066cc,第2層
9,94,734,#0066cc,第2層
9,96,4,#0066cc,第2層
9,97,20,#0066cc,第2層
9,98,8,#0066cc,第2層
9,99,8155,#0066cc,第2層
9,100,2,#0066cc,第2層
9,101,20,#0066cc,第2層
9,102,86,#0066cc,第2層
9,103,107,#0066cc,第2層
9,104,1,#0066cc,第2層
9,105,1,#0066cc,第2層
9,106,24,#0066cc,第2層
9,107,1,#0066cc,第2層
9,108,71,#0066cc,第2層
9,109,7,#0066cc,第2層
9,110,1558,#0066cc,第2層
9,111,34,#0066cc,第2層
9,112,56,#0066cc,第2層
9,114,11,#0066cc,第2層
9,115,71,#0066cc,第2層
9,116,9,#0066cc,第2層
9,117,2,#0066cc,第2層
9,118,1122,#0066cc,第2層
9,119,1109,#0066cc,第2層
9,120,3514,#0066cc,第2層
9,126,15873,#0066cc,第2層
9,127,22,#0066cc,第2層
9,128,37,#0066cc,第2層
9,130,28,#0066cc,第2層
9,131,3,#0066cc,第2層
9,132,15,#0066cc,第2層
9,133,9,#0066cc,第2層
9,134,1007,#0066cc,第2層
9,135,14926,#0066cc,第2層
9,136,13,#0066cc,第2層
9,137,10,#0066cc,第2層
9,138,25,#0066cc,第2層
9,139,15912,#0066cc,第2層
9,145,46,#0066cc,第2層
9,146,4,#0066cc,第2層
9,147,115,#0066cc,第2層
9,149,15794,#0066cc,第2層
9,150,42,#0066cc,第2層
9,151,6,#0066cc,第2層
9,152,39,#0066cc,第2層
9,153,9,#0066cc,第2層
9,154,105,#0066cc,第2層
9,156,15759,#0066cc,第2層
9,157,4541,#0066cc,第2層
9,158,1361,#0066cc,第2層
9,159,628,#0066cc,第2層
9,161,6487,#0066cc,第2層
9,162,7,#0066cc,第2層
9,163,35,#0066cc,第2層
9,164,9432,#0066cc,第2層
9,165,2397,#0066cc,第2層
9,166,7488,#0066cc,第2層
9,167,62,#0066cc,第2層
9,168,426,#0066cc,第2層
9,169,387,#0066cc,第2層
9,170,3985,#0066cc,第2層
9,171,5,#0066cc,第2層
9,172,55,#0066cc,第2層
9,173,210,#0066cc,第2層
9,174,945,#0066cc,第2層
9,175,79,#0066cc,第2層
9,176,437,#0066cc,第2層
9,177,501,#0066cc,第2層
9,178,4454,#0066cc,第2層
9,179,10490,#0066cc,第2層
9,180,308,#0066cc,第2層
9,181,20,#0066cc,第2層
9,182,119,#0066cc,第2層
9,183,3570,#0066cc,第2層
9,184,15961,#0066cc,第2層
9,189,21,#0066cc,第2層
9,190,102,#0066cc,第2層
9,191,341,#0066cc,第2層
9,192,1539,#0066cc,第2層
9,193,1915,#0066cc,第2層
9,194,235,#0066cc,第2層
9,195,1575,#0066cc,第2層
9,196,8585,#0066cc,第2層
9,198,779,#0066cc,第2層
9,199,18,#0066cc,第2層
9,200,70,#0066cc,第2層
9,201,44,#0066cc,第2層
9,202,12,#0066cc,第2層
9,204,21,#0066cc,第2層
9,205,9,#0066cc,第2層
9,206,9,#0066cc,第2層
9,207,43,#0066cc,第2層
9,208,29,#0066cc,第2層
9,209,143,#0066cc,第2層
9,211,325,#0066cc,第2層
9,217,1,#0066cc,第2層
9,218,2,#0066cc,第2層
9,219,9,#0066cc,第2層
9,220,4,#0066cc,第2層
9,221,132,#0066cc,第2層
9,223,13583,#0066cc,第2層
9,224,2206,#0066cc,第2層
9,226,15882,#0066cc,第2層
9,232,3,#0066cc,第2層
9,233,41,#0066cc,第2層
9,235,30,#0066cc,第2層
9,236,5,#0066cc,第2層
9,238,42,#0066cc,第2層
9,239,111,#0066cc,第2層
9,240,2,#0066cc,第2層
9,242,20,#0066cc,第2層
9,243,1,#0066cc,第2層
9,244,43,#0066cc,第2層
9,245,6,#0066cc,第2層
9,246,148,#0066cc,第2層
9,247,117,#0066cc,第2層
9,248,4978,#0066cc,第2層
9,249,55,#0066cc,第2層
9,250,1064,#0066cc,第2層
9,251,24,#0066cc,第2層
9,252,43,#0066cc,第2層
9,253,8558,#0066cc,第2層
9,254,165,#0066cc,第2層
9,259,1,#0066cc,第2層
9,260,1,#0066cc,第2層
9,261,2,#0066cc,第2層
9,262,1,#0066cc,第2層
9,264,195,#0066cc,第2層
9,265,28,#0066cc,第2層
9,266,168,#0066cc,第2層
9,267,1,#0066cc,第2層
9,268,3,#0066cc,第2層
9,271,3,#0066cc,第2層
9,272,19,#0066cc,第2層
9,276,104,#0066cc,第2層
9,277,7,#0066cc,第2層
9,279,998,#0066cc,第2層
9,280,29,#0066cc,第2層
9,281,630,#0066cc,第2層
9,282,59,#0066cc,第2層
9,283,105,#0066cc,第2層
9,284,426,#0066cc,第2層
9,286,73,#0066cc,第2層
9,287,1,#0066cc,第2層
